"name","isFork","commits","branches","defaultBranch","releases","contributors","license","watchers","stargazers","forks","size","createdAt","pushedAt","updatedAt","homepage","mainLanguage","totalIssues","openIssues","totalPullRequests","openPullRequests","lastCommit","lastCommitSHA","hasWiki","isArchived"
"telegramdesktop/tdesktop",false,13348,9,"dev",589,157,"Other",760,19957,4215,197000,"2014-05-02T12:36:31","2022-10-06T07:25:16","2022-10-10T02:32:06","https://desktop.telegram.org/","C++",11617,754,1435,18,"2022-10-06T03:13:38","8f1a8f909dd632479902d6b4d3effb8bbb254dd4",true,false
"ossrs/srs",false,8270,8,"develop",48,82,"MIT License",827,19214,4653,243693,"2015-04-29T06:59:32","2022-09-24T11:28:57","2022-09-26T09:38:31","https://ossrs.io","C++",1135,189,465,22,"2022-09-22T12:37:22","b32814214099949ff51880d3ea7f5bbcebc26754",true,false
"ethereum/solidity",false,22551,284,"develop",99,368,"GNU General Public License v3.0",664,17875,4241,64731,"2015-08-17T12:27:26","2022-08-14T12:16:30","2022-08-14T10:03:27","https://soliditylang.org","C++",5215,1039,7806,70,"2022-08-13T01:55:15","a78a2bcf34f729957095587fcead56a7291abfb1",false,false
"polybar/polybar",false,2121,6,"master",21,142,"MIT License",126,11442,584,8601,"2016-05-19T02:16:23","2022-10-05T09:05:45","2022-10-08T03:46:34","https://polybar.github.io","C++",1947,162,798,60,"2022-10-05T09:05:44","303015244e311dc0c2a56f349deb4b72975c6e65",true,false
"flameshot-org/flameshot",false,1853,15,"master",25,202,"GNU General Public License v3.0",200,18946,1195,22992,"2017-05-10T07:44:51","2022-10-06T05:29:08","2022-10-09T08:32:36","https://flameshot.org","C++",1916,317,923,8,"2022-10-06T05:29:08","134117b558571c60926d97dfe585143643448113",false,false
"tensorflow/tensorflow",false,113242,49,"master",138,402,"Apache License 2.0",8100,156951,85000,723249,"2015-11-07T01:19:20","2021-06-27T09:13:57","2021-06-27T04:27:51","https://tensorflow.org","C++",32030,3500,18134,173,"2021-06-27T09:13:07","1df058b0a4af8c5673251e27a57af320d7b1d29d",false,false
"protocolbuffers/protobuf",false,9955,42,"main",104,374,"Other",2081,56022,14388,100737,"2014-08-26T03:52:15","2022-08-30T05:55:21","2022-09-01T02:56:55","https://developers.google.com/protocol-buffers/","C++",5133,758,5193,34,"2022-08-30T04:30:54","e58ff9821b534d1f5bdd8af4a8ceeba661ac9b50",true,false
"grpc/grpc",false,51444,137,"master",205,325,"Apache License 2.0",1356,35178,9269,438304,"2014-12-08T06:58:53","2022-08-06T03:38:05","2022-08-07T02:19:03","https://grpc.io","C++",10334,661,19915,196,"2022-08-06T01:12:09","6a74cf535a1fce248ae8d538fb47051602f01e7f",true,false
"cmu-perceptual-computing-lab/openpose",false,703,3,"master",15,95,"Other",908,25032,7318,86470,"2017-04-24T02:06:31","2022-09-30T05:20:21","2022-10-03T10:10:21","https://cmu-perceptual-computing-lab.github.io/openpose","C++",1820,185,236,10,"2022-09-30T04:54:10","63e1d07213c950601d0789fd9276a8f244967f22",true,false
"apache/incubator-mxnet",false,11893,42,"master",34,375,"Apache License 2.0",1094,20085,6877,100627,"2015-04-30T04:21:15","2022-09-26T12:15:07","2022-09-28T12:01:56","https://mxnet.apache.org","C++",9528,1783,11095,204,"2022-09-26T12:15:06","7d602e3b2382eb501fdeb94c4d97e652a723af11",true,false
"osquery/osquery",false,6198,4,"master",120,367,"Other",689,19289,2343,25799,"2014-07-29T08:27:33","2022-09-16T05:14:59","2022-09-19T05:38:25","https://osquery.io","C++",3013,504,4696,34,"2022-09-16T04:35:30","a8a4a46c37d2fa5eb3853137c3fa519c359d3cbc",false,false
"facebook/hhvm",false,48962,187,"master",15,291,"Other",1018,17270,2994,514723,"2010-01-02T01:17:06","2022-06-06T02:28:37","2022-06-05T01:40:29","https://hhvm.com","C++",5883,589,3099,71,"2022-06-05T11:37:26","b97c6427f96ea3258fc79b67b6cf874bc329fc7d",true,false
"swoole/swoole-src",false,12558,5,"master",230,135,"Apache License 2.0",852,17601,3190,49872,"2012-07-21T01:49:59","2022-10-08T03:09:33","2022-10-05T09:20:22","https://www.swoole.com","C++",3143,82,1646,10,"2022-09-28T03:53:03","9a41f1257b12fd1d6c804cc922ae11bcce8e5c2e",false,false
"facebook/folly",false,11099,1,"main",104,302,"Apache License 2.0",1034,23105,4826,42330,"2012-06-01T08:49:04","2022-09-12T07:01:54","2022-09-12T01:01:27","https://groups.google.com/forum/?fromgroups#!forum/facebook-folly","C++",960,335,863,73,"2022-09-10T03:17:00","5bad3c1f2c4507c44cf993db8598fbd7209589be",true,false
"microsoft/react-native-windows",false,6745,75,"main",266,182,"Other",298,14982,1096,204349,"2015-12-15T12:16:54","2022-10-01T05:11:39","2022-10-03T09:40:54","https://microsoft.github.io/react-native-windows/","C++",3792,710,6725,53,"2022-10-01T05:11:35","f5e0fac7ab6a7e5f4f476df4fdf6258a94bbcaa2",true,false
"simdjson/simdjson",false,2434,111,"master",41,96,"Apache License 2.0",236,16126,874,22529,"2018-03-23T12:49:18","2022-10-06T03:59:22","2022-10-10T01:47:32","https://simdjson.org","C++",716,120,1143,3,"2022-10-06T03:59:12","960a7ebba149af00628e6a56f9605945f91a15b7",true,false
"pqrs-org/karabiner-elements",false,5628,1,"main",34,36,"The Unlicense",222,15277,783,95014,"2016-07-11T04:57:55","2022-09-26T03:24:38","2022-09-29T10:44:55","https://pqrs.org/osx/karabiner/","C++",3156,633,73,0,"2022-09-26T03:24:35","dfce6b5feac65bd0ebfebc5de5f621e7dd1177fb",false,false
"microsoft/lightgbm",false,3092,18,"master",24,262,"MIT License",452,14229,3634,20218,"2016-08-05T05:45:50","2022-10-03T08:01:48","2022-10-03T01:05:09","https://lightgbm.readthedocs.io/en/latest/","C++",2802,209,2708,36,"2022-09-15T11:39:32","dc4794b62f2c09103e558b7a8325bed66083a5c3",true,false
"xbmc/xbmc",false,60796,33,"master",147,248,"Other",807,14112,5971,1575235,"2011-01-03T09:18:51","2022-08-17T05:58:55","2022-08-18T03:22:53","https://kodi.tv/","C++",2948,658,18789,169,"2022-08-17T05:57:44","8a85a4c4d9b8ee8cbe10d8f073fcbe985b915ebb",false,false
"microsoft/vcpkg",false,12682,1,"master",13,1109,"Other",384,11765,3282,31776,"2016-09-15T04:40:50","2021-01-29T03:45:29","2021-01-29T02:45:31","","C++",7924,1211,7960,163,"2021-01-29T03:45:59","865de0c130f3d34174ac7a410789df3c44a27fd2",true,false
"eosio/eos",false,20554,546,"master",114,225,"MIT License",1025,11355,3699,310302,"2017-04-05T05:09:53","2022-07-27T12:17:50","2022-07-29T02:55:34","https://developers.eos.io/manuals/eos","C++",5055,304,5996,82,"2021-07-19T11:22:42","11d35f0f934402321853119d36caeb7022813743",true,false
"tencent/ncnn",false,2710,2,"master",35,220,"Other",571,15613,3627,19869,"2017-06-30T10:55:37","2022-09-28T01:25:09","2022-09-29T03:10:29","","C++",2744,813,1463,50,"2022-09-24T01:07:52","d30fc825d404a8c575cd200af802fe9e51e2f729",true,false
"google/filament",false,5285,39,"main",121,103,"Apache License 2.0",372,14659,1467,655705,"2018-08-03T05:26:00","2022-10-01T10:58:48","2022-10-03T11:11:29","https://google.github.io/filament/","C++",1752,92,3742,4,"2022-09-30T11:12:36","694ecce150289cf55cf4c026ff1763aa8b39e6e0",true,false
"apple/foundationdb",false,21193,32,"main",138,189,"Apache License 2.0",288,11476,1122,109371,"2017-12-14T01:40:42","2022-07-17T07:33:44","2022-07-15T08:54:41","https://www.foundationdb.org","C++",1525,727,6021,205,"2022-07-15T09:32:53","02ab3b05ab191b40b4f71757d66025d660bfbf7d",true,false
"facebook/watchman",false,11005,14,"main",103,224,"MIT License",267,11155,921,27814,"2012-11-29T11:35:52","2022-10-03T07:01:49","2022-10-03T04:00:25","https://facebook.github.io/watchman/","C++",615,134,431,21,"2022-10-01T01:28:27","58075ade745bb381c1591bfe22f7654a1b56e32c",true,false
"marlinfirmware/marlin",false,18749,7,"bugfix-2.1.x",54,401,"GNU General Public License v3.0",925,13697,17118,184417,"2011-08-13T08:07:20","2022-09-01T12:58:15","2022-08-31T09:47:49","http://marlinfw.org","C++",13423,598,11226,55,"2022-08-30T12:41:13","aa0904600b9704afeea0ac5edbb81139ea5436e9",false,false
"keepassxreboot/keepassxc",false,4354,12,"develop",37,302,"Other",248,13833,1102,47428,"2016-02-28T03:52:40","2022-09-25T09:28:25","2022-09-29T02:44:35","https://keepassxc.org/","C++",6240,545,1819,38,"2022-09-22T12:40:23","eaa363d8c032fc5513d4566d72f249a6e4e9d293",true,false
"rizinorg/cutter",false,2392,13,"dev",42,165,"GNU General Public License v3.0",295,12073,972,15306,"2017-09-25T09:50:51","2022-10-07T11:04:51","2022-10-17T03:18:57","https://cutter.re","C++",1458,430,1531,13,"2022-10-05T02:35:43","8ad700a6dc1a4a628f23ebefa2138c5f8df0182d",true,false
"rpcs3/rpcs3",false,14153,11,"master",26,257,"GNU General Public License v2.0",596,11652,1693,109290,"2012-11-03T03:16:18","2022-09-15T08:48:07","2022-09-15T05:40:06","https://rpcs3.net/","C++",5981,680,6273,35,"2022-09-13T05:11:30","2807be7080ab71d5c542a2bef7323f9b43f192e6",true,false
"freecad/freecad",false,28928,12,"master",16,325,"Other",522,11369,2767,1512396,"2012-09-09T08:25:02","2022-05-25T03:24:24","2022-05-25T01:11:16","https://www.freecadweb.org","C++",966,704,5941,55,"2022-05-24T02:42:27","d492ac30838e4fb07b1ce4b378730f2fb38b9ba3",false,false
"pybind/pybind11",false,2585,23,"master",15,288,"Other",245,11646,1688,9418,"2015-07-05T07:46:48","2022-10-01T02:34:23","2022-10-03T06:55:35","https://pybind11.readthedocs.io/","C++",1913,422,1886,106,"2022-09-27T12:44:19","da8c730a62a7f9654433f5e2206bd1135a8b57d8",true,false
"paddlepaddle/paddle",false,36525,36,"develop",55,314,"Apache License 2.0",730,18547,4616,259185,"2016-08-15T06:59:08","2022-07-17T03:52:05","2022-07-17T05:02:30","http://www.paddlepaddle.org/","C++",15009,2076,29270,828,"2022-07-16T07:05:00","c0a7830f0ce6262ff0c9507208400b1111743f0a",true,false
"microsoft/terminal",false,3270,367,"main",83,336,"MIT License",1310,85405,7505,114899,"2017-08-11T06:38:22","2022-09-25T07:09:32","2022-09-26T10:42:05","","C++",10495,1465,3268,52,"2022-09-23T01:20:21","e1e6e662f9d00d55770c2c947066d7de18ea286f",true,false
"opencv/opencv",false,31936,6,"4.x",58,300,"Apache License 2.0",2634,62690,52053,507636,"2012-07-19T09:40:17","2022-07-17T08:40:41","2022-07-18T12:11:11","https://opencv.org","C++",8975,2103,13186,132,"2022-07-16T11:59:30","1d134025a5c7e15c6d038584b19177990db50555",true,false
"facebook/rocksdb",false,11246,153,"main",159,323,"GNU General Public License v2.0",1006,23018,5292,187193,"2012-11-30T06:16:18","2022-07-09T11:33:22","2022-07-10T12:59:58","http://rocksdb.org","C++",2577,439,7523,274,"2022-07-09T02:48:09","96206531bc0bb56d87012921c5458c8a3047a6b3",true,false
"envoyproxy/envoy",false,11794,24,"main",85,399,"Apache License 2.0",605,20007,3782,152517,"2016-08-08T03:07:24","2022-07-17T07:41:38","2022-07-17T04:19:14","https://www.envoyproxy.io","C++",7615,1194,14613,144,"2022-07-16T02:00:22","1cf5603dc5239c92e5bc38ef321f59ccf6eabc6e",true,false
"taichi-dev/taichi",false,9004,101,"master",102,183,"Apache License 2.0",392,19558,1998,47824,"2016-11-24T10:00:05","2022-07-17T07:00:55","2022-07-17T11:25:36","https://taichi-lang.org","C++",1766,466,3629,42,"2022-07-17T02:18:11","98d50755985da1a91b68853552a720de0a895370",true,false
"fmtlib/fmt",false,5927,3,"master",41,354,"Other",322,15373,1880,14898,"2012-12-07T04:26:46","2022-10-07T08:46:45","2022-10-10T03:16:03","https://fmt.dev","C++",2032,11,1087,2,"2022-10-07T08:46:45","d2c47c0df23d95e3d7c5def06e5f67f32eb7ffc7",false,false
"davisking/dlib",false,8124,3,"master",25,157,"Boost Software License 1.0",470,11462,3129,25824,"2014-01-29T12:45:33","2022-10-09T05:04:57","2022-10-16T06:56:04","http://dlib.net","C++",2079,30,585,5,"2022-10-09T01:36:54","1bebccfb8728f6112d6142ba24f2dd65970ff6a2",false,false
"openrct2/openrct2",false,23511,8,"develop",28,361,"GNU General Public License v3.0",210,10683,1269,178999,"2014-04-01T11:32:25","2022-07-14T11:48:14","2022-07-15T01:05:35","https://openrct2.io","C++",9418,1340,7679,72,"2022-07-12T10:20:49","213696ea274a55aef6e6fa67e7abc6f2c201d349",true,false
"godotengine/godot",false,43369,10,"master",38,456,"Other",1436,48906,8729,924910,"2014-01-04T04:05:36","2022-05-15T02:21:04","2022-05-15T05:59:23","https://godotengine.org","C++",33323,6064,26745,1429,"2022-05-14T07:19:32","6d5d9dd82ad263ae69afc01e73e47320c1f68c04",false,false
"clickhouse/clickhouse",false,80425,6055,"master",335,296,"Apache License 2.0",660,21358,4176,561176,"2016-06-02T08:28:18","2022-01-01T10:46:21","2022-01-01T08:14:47","https://clickhouse.com","C++",10150,1719,23131,142,"2022-01-01T07:04:15","b29e8688a56572172a1becd80693b7960fc65b05",true,false
"notepad-plus-plus/notepad-plus-plus",false,4748,1,"master",88,306,"Other",617,16788,3751,212519,"2015-03-28T12:05:08","2022-08-18T11:03:04","2022-08-21T11:25:31","https://notepad-plus-plus.org/","C++",8096,1650,2998,26,"2022-08-14T04:20:22","f2c4ecd7e1bfd5d7d5c14c854438c02f2ba0909a",true,false
"apple/swift",false,136971,322,"main",41,361,"Apache License 2.0",2526,60115,9675,832085,"2015-10-23T09:15:07","2022-07-17T08:20:22","2022-07-17T08:18:18","https://swift.org","C++",12626,5443,43877,553,"2022-07-15T09:34:23","4e1a1b82b974f6fd9b711c3d9a81de76ddf275fa",false,false
"pytorch/pytorch",false,33741,4459,"master",60,1756,"Other",1594,46324,12323,335138,"2016-08-13T05:26:41","2021-02-21T04:46:12","2021-02-21T02:31:53","https://pytorch.org","C++",18622,5632,33853,2312,"2021-02-21T09:43:54","14f7bf06290c5ff7b1d43506957afd765d238de0",true,false
"onnx/onnx",false,2038,34,"main",22,229,"Apache License 2.0",430,13149,2956,22970,"2017-09-07T04:53:45","2022-08-26T04:59:38","2022-08-28T03:23:40","https://onnx.ai/","C++",2032,233,2340,78,"2022-08-25T05:54:01","e69872e7a55c6da5b22caa33739da4df17c7d01c",true,false
"fish-shell/fish-shell",false,16083,26,"master",37,400,"Other",268,19407,1590,74513,"2012-05-10T03:00:55","2022-08-16T06:56:43","2022-08-18T06:00:52","https://fishshell.com","C++",6394,459,2682,1,"2022-08-15T06:30:47","98692e03095fab0b7c9b3af63b767cb8b10e6d58",true,false
